City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,15.29,63,75,2.57,CA,1691387596
1,newman,37.3138,-121.0208,28.99,59,0,1.79,US,1691387386
2,ushuaia,-54.8,-68.3,-3.96,94,99,2.3,AR,1691386970
3,mizdah,31.4451,12.9801,22.35,44,0,1.17,LY,1691387447
4,edinburgh of the seven seas,-37.0676,-12.3116,11.69,57,28,10.92,SH,1691387188
5,port-aux-francais,-49.35,70.2167,5.92,92,100,14.78,TF,1691387598
6,puerto ayacucho,5.6639,-67.6236,23.44,95,97,1.63,VE,1691387599
7,fale old settlement,-9.3852,-171.2468,28.26,70,23,5.91,TK,1691387599
8,nazyvayevsk,55.5698,71.3529,24.86,35,0,3.09,RU,1691387600
9,mazagao,-0.115,-51.2894,27.03,94,11,1.83,BR,1691387601
10,ilulissat,69.2167,-51.1,1.23,60,32,3.39,GL,1691387601
11,atafu village,-8.5421,-172.5159,28.56,76,28,6.93,TK,1691387602
12,ust-nera,64.5667,143.2,13.63,32,20,3.15,RU,1691387602
13,plesetsk,62.708,40.2916,19.44,74,97,2.51,RU,1691387603
14,albany,42.6001,-73.9662,19.47,80,100,1.21,US,1691387604
15,novyy urengoy,66.0833,76.6333,25.21,31,10,4.02,RU,1691387327
16,whitehorse,60.7161,-135.0538,23.43,43,75,4.63,CA,1691387605
17,iqaluit,63.7506,-68.5145,5.85,87,20,1.03,CA,1691387606
18,geraldton,-28.7667,114.6,25.23,65,100,0.0,AU,1691387483
19,margate,51.3813,1.3862,13.72,87,2,1.79,GB,1691387481
20,huaihua,27.5494,109.9592,35.27,52,50,1.0,CN,1691387607
21,bilibino,68.0546,166.4372,1.36,91,100,3.37,RU,1691387608
22,invercargill,-46.4,168.35,6.12,85,99,3.58,NZ,1691387503
23,vila velha,-20.3297,-40.2925,19.97,90,40,1.54,BR,1691387610
24,hawaiian paradise park,19.5933,-154.9731,23.91,96,36,1.99,US,1691387611
25,kodiak,57.79,-152.4072,11.73,94,100,5.66,US,1691387611
26,nemuro,43.3236,145.575,15.1,97,100,5.93,JP,1691387612
27,sitka,57.0531,-135.33,15.94,88,100,0.0,US,1691387612
28,adamstown,-25.066,-130.1015,20.69,67,27,7.31,PN,1691387614
29,selfoss,63.9331,-20.9971,9.47,86,88,1.92,IS,1691387322
30,remire-montjoly,4.9167,-52.2667,24.02,100,40,0.0,GF,1691387614
31,papatowai,-46.5619,169.4708,4.62,91,100,7.22,NZ,1691387615
32,whitby,54.4877,-0.615,11.19,87,1,0.89,GB,1691387494
33,puerto natales,-51.7236,-72.4875,-0.99,83,93,1.89,CL,1691387616
34,isafjordur,66.0755,-23.124,9.66,60,22,1.55,IS,1691387617
35,blackmans bay,-43.0167,147.3167,14.85,61,99,0.17,AU,1691387618
36,poronaysk,49.2167,143.1167,18.91,70,1,5.18,RU,1691387618
37,ribeira grande,38.5167,-28.7,21.54,84,11,3.58,PT,1691387346
38,kapa'a,22.0752,-159.319,27.18,75,20,5.66,US,1691387491
39,takoradi,4.8845,-1.7554,23.71,91,94,2.87,GH,1691387620
40,udachny,66.4167,112.4,19.14,48,99,3.94,RU,1691387620
41,pervomayskoye,43.919,46.7102,35.79,32,0,7.25,RU,1691387391
42,hasaki,35.7333,140.8333,34.06,78,17,4.9,JP,1691387622
43,bac lieu,9.285,105.7244,32.87,56,39,5.54,VN,1691387622
44,tiksi,71.6872,128.8694,10.47,50,72,3.09,RU,1691387622
45,ishigaki,24.3448,124.1572,32.07,79,75,3.6,JP,1691387623
46,aykhal,66.0,111.5,19.42,32,99,4.4,RU,1691387623
47,esquel,-42.9,-71.3167,0.8,78,27,0.81,AR,1691387624
48,boguchany,58.3814,97.4531,22.8,38,15,2.45,RU,1691387625
49,naze,28.3667,129.4833,24.51,91,100,14.78,JP,1691387475
50,wailua homesteads,22.0669,-159.378,24.3,79,18,5.44,US,1691387625
51,tezu,27.9167,96.1667,25.72,99,100,0.46,IN,1691387626
52,la passe,45.5549,-0.8967,13.88,87,3,1.66,FR,1691387626
53,st. john's,47.5649,-52.7093,15.15,97,100,3.13,CA,1691387627
54,port mathurin,-19.6833,63.4167,22.03,65,82,9.87,MU,1691387628
55,grytviken,-54.2811,-36.5092,-4.39,95,100,6.52,GS,1691387628
56,wolin,53.8421,14.6147,13.47,85,100,14.47,PL,1691387629
57,hammerfest,70.6634,23.6821,15.25,63,0,2.06,NO,1691387629
58,georgetown,5.4112,100.3354,31.97,62,20,3.09,MY,1691387590
59,anadyr,64.75,177.4833,12.28,94,75,3.0,RU,1691387141
60,az zawr,29.4425,48.2747,40.01,39,0,4.31,KW,1691387630
61,vorkuta,67.5,64.0,21.25,76,96,3.94,RU,1691387631
62,juegang,32.3174,121.1855,28.91,80,27,6.44,CN,1691387632
63,urangan,-25.3,152.9,19.28,72,19,7.47,AU,1691387632
64,laojunmiao,39.8333,97.7333,29.57,19,81,7.36,CN,1691387633
65,maloye ganyushkino,46.6,49.2667,35.11,27,0,5.32,KZ,1691387634
66,qaqortoq,60.7167,-46.0333,4.55,93,31,0.38,GL,1691387635
67,college,64.8569,-147.8028,22.67,61,100,1.54,US,1691387635
68,saipan,15.1355,145.701,31.39,100,40,3.09,MP,1691387636
69,port elizabeth,-33.918,25.5701,10.16,81,20,1.54,ZA,1691387637
70,waitangi,-43.9535,-176.5597,9.07,58,98,1.38,NZ,1691387638
71,enewetak,11.3474,162.3373,28.6,70,76,3.71,MH,1691387639
72,ben lomond,37.0891,-122.0863,23.58,82,3,0.41,US,1691387639
73,margaret river,-33.95,115.0667,16.28,68,29,6.0,AU,1691387431
74,pumiao,22.75,108.4833,30.22,75,100,4.22,CN,1691387640
75,bodo,67.28,14.405,12.65,88,75,1.54,NO,1691387640
76,al ghayzah,16.2079,52.176,27.95,79,100,3.58,YE,1691387642
77,tolanaro,-25.0319,46.9987,19.04,94,75,6.17,MG,1691387366
78,kudahuvadhoo,2.6708,72.8944,28.66,71,100,4.64,MV,1691387643
79,west island,-12.1568,96.8225,27.99,78,75,5.66,CC,1691387644
80,stanley,54.868,-1.6985,10.71,92,20,4.12,GB,1691387644
81,huarmey,-10.0681,-78.1522,18.8,85,54,3.53,PE,1691387646
82,kijang,35.2442,129.2139,34.85,73,38,9.38,KR,1691387646
83,ujae,8.9322,165.7642,28.21,73,57,4.21,MH,1691387647
84,brokopondo,4.75,-55.1667,25.24,83,10,1.88,SR,1691387355
85,lebu,-37.6167,-73.65,8.82,82,3,2.02,CL,1691387648
86,odoyev,53.9393,36.6864,25.09,58,9,7.45,RU,1691387648
87,gonzaga,44.9498,10.8209,17.79,80,0,3.68,IT,1691387649
88,pisco,-13.7,-76.2167,16.12,88,12,2.06,PE,1691387650
